type;id;name;extra1;extra2
P;P-001;Ноутбук Lenovo ThinkPad;32500.00;Комп'ютери
C;C-001;Павло Мотлюк;motlyuk@lnu.edu.ua;+380501112233
P;P-002;Монітор Dell 27 4K;14200.50;Периферія
C;C-002;Олександр Коваль;koval@gmail.com;+380672223344
P;P-003;Механічна клавіатура;4100.00;Аксесуари
C;C-003;Марія Шевченко;shevchenko@meta.ua;
P;P-004;Бездротова миша;3450.75;Аксесуари
C;C-004;Іван Франко;franko@kameniar.ua;+380931234567
P;P-005;Навушники Sony;12999.00;Аудіо
C;C-005;Леся Українка;lesya@poet.ua;
P;P-006;Графічний планшет;не_число;Периферія
C;C-006;Невалідний Email;invalid-email-no-at;+380000000000
X;X-001;Склад Головний;Львів;Городоцька 10
P;P-007;;2500.00;Комплектуючі
